Accel X(g),Accel Y(g),Accel Z(g),Gyro X(rad/s),Gyro Y(rad/s),Gyro Z(rad/s)
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.00,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.02,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.03,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.00,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.03,-0.02,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.12,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.00,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.00,1.03,-0.02,-0.02,-0.00
-0.13,0.02,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.00,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,0.00
-0.12,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.12,0.01,1.03,-0.02,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,0.00
-0.12,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.12,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.00,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.12,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.02,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.02,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.00,1.03,-0.02,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.00,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.02,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.03,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.03,-0.01,-0.02,0.00
-0.12,0.00,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.12,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.00,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.01,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.12,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.00,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.00,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,0.00
-0.13,0.01,1.03,-0.01,-0.02,-0.00
-0.12,0.00,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.03,-0.02,-0.02,0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.13,0.01,1.02,-0.01,-0.02,-0.00
-0.12,0.00,1.03,-0.02,-0.02,-0.00
-0.13,0.00,1.03,-0.02,-0.02,-0.00
-0.13,0.01,1.02,-0.02,-0.02,-0.00
